strain	accession	name	segment	date	host	country	abbreviation	virus
003/XM/2010	HQ850973	003/XM/2010	NA	2010	Human	China	NA	Enterovirus_A71
01011Y	JX017384	01011Y	NA	2011	Human	China	EV71	Enterovirus_A71
02_0_023	KP691657	02_0_023	NA	2013_08_21	Unknown	Viet_Nam	NA	Enterovirus_A71
02_0_024	KP691664	02_0_024	NA	2013_08_26	Unknown	Viet_Nam	NA	Enterovirus_A71
02_0_035	KP691653	02_0_035	NA	2013_09_11	Unknown	Viet_Nam	NA	Enterovirus_A71
02_0_049	KP691663	02_0_049	NA	2013_09_25	Unknown	Viet_Nam	NA	Enterovirus_A71
02_0_060	KP691652	02_0_060	NA	2013_10_16	Unknown	Viet_Nam	NA	Enterovirus_A71
02_0_065	KP691659	02_0_065	NA	2013_10_21	Unknown	Viet_Nam	NA	Enterovirus_A71
02_0_068	KP691656	02_0_068	NA	2013_10_28	Unknown	Viet_Nam	NA	Enterovirus_A71
02_0_070	KP691646	02_0_070	NA	2013_10_28	Unknown	Viet_Nam	NA	Enterovirus_A71
02_0_071	KP691647	02_0_071	NA	2013_10_30	Unknown	Viet_Nam	NA	Enterovirus_A71
02_0_072	KP691650	02_0_072	NA	2013_11_04	Unknown	Viet_Nam	NA	Enterovirus_A71
02_0_079	KP691643	02_0_079	NA	2013_11_11	Unknown	Viet_Nam	NA	Enterovirus_A71
02_0_083	KP691655	02_0_083	NA	2013_11_13	Unknown	Viet_Nam	NA	Enterovirus_A71
02_0_090	KP691658	02_0_090	NA	2013_11_25	Unknown	Viet_Nam	NA	Enterovirus_A71
02_1_005	KP691662	02_1_005	NA	2013_07_19	Unknown	Viet_Nam	NA	Enterovirus_A71
02_1_008	KP691654	02_1_008	NA	2013_07_20	Unknown	Viet_Nam	NA	Enterovirus_A71
02_1_042	KP691651	02_1_042	NA	2013_09_12	Unknown	Viet_Nam	NA	Enterovirus_A71
02_1_043	KP691648	02_1_043	NA	2013_09_18	Unknown	Viet_Nam	NA	Enterovirus_A71
02_1_055	KP691645	02_1_055	NA	2013_10_06	Unknown	Viet_Nam	NA	Enterovirus_A71
02_1_065	KP691661	02_1_065	NA	2013_10_25	Unknown	Viet_Nam	NA	Enterovirus_A71
02_1_067	KP691660	02_1_067	NA	2013_10_28	Unknown	Viet_Nam	NA	Enterovirus_A71
02363_Thai_02	AB747375	02363_Thai_02	NA	NA	Unknown	Thailand	NA	Enterovirus_A71
03_0_002	KP691644	03_0_002	NA	2013_11_06	Unknown	Viet_Nam	NA	Enterovirus_A71
03_0_003	KP691649	03_0_003	NA	2013_11_06	Unknown	Viet_Nam	NA	Enterovirus_A71
03_KOR_00	DQ341356	03_KOR_00	NA	NA	Unknown	South_Korea	NA	Enterovirus_A71
06_KOR_00	DQ341355	06_KOR_00	NA	NA	Unknown	South_Korea	NA	Enterovirus_A71
0964/SYD/98	JN992285	0964/SYD/98	NA	NA	Human	Australia	NA	Enterovirus_A71
1/SHENZHEN/08/China/HFMD/2008	FJ607334	1/SHENZHEN/08/China/HFMD/2008	NA	2008_05	Human	China	NA	Enterovirus_A71
109/EV71/Wenzhou/CHN/2014	KT008671	109/EV71/Wenzhou/CHN/2014	NA	2014_06_02	Human	China	C4a	Enterovirus_A71
1095_LPS1	AB550333	1095_LPS1	NA	NA	Unknown	Japan	NA	Enterovirus_A71
1095_org	AB550332	1095_org	NA	NA	Unknown	Japan	NA	Enterovirus_A71
11/EV71/Wenzhou/CHN/2014	KT008670	11/EV71/Wenzhou/CHN/2014	NA	2014_06_02	Human	China	C4a	Enterovirus_A71
116/EV71/Wenzhou/CHN/2014	KT008672	116/EV71/Wenzhou/CHN/2014	NA	2014_06_02	Human	China	C4a	Enterovirus_A71
121/SHENZHEN/08/China/HFMD_Fatal/2008	FJ607337	121/SHENZHEN/08/China/HFMD_Fatal/2008	NA	2008_05	Human	China	NA	Enterovirus_A71
